time;normalv;clouds_all;main_temp;wind_deg;wind_speed
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.44;332;2.59
00;0.0;97;-3.44;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.44;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.44;332;2.59
00;0.0;97;-3.44;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.44;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.44;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.44;332;2.59
00;0.0;97;-3.44;332;2.59
00;0.0;97;-3.42;332;2.59
00;0.0;97;-3.42;332;2.59
01;0.0;97;-3.44;332;2.59
01;0.0;97;-3.44;332;2.59
01;0.0;97;-3.44;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.42;332;2.59
01;0.0;97;-3.43;332;2.59
01;0.0;97;-3.42;332;2.59
